,value,Iteration,Model,Dataset,DataType
5,58.29787234042554,5,sparselabelpropagation,german,numeric
6,54.8936170212766,6,sparselabelpropagation,german,numeric
7,60.21276595744681,7,sparselabelpropagation,german,numeric
8,54.04255319148936,8,sparselabelpropagation,german,numeric
9,60.85106382978724,9,sparselabelpropagation,german,numeric
0,53.61702127659574,0,centeredkernel,german,numeric
1,59.14893617021277,1,centeredkernel,german,numeric
2,61.70212765957447,2,centeredkernel,german,numeric
3,61.70212765957447,3,centeredkernel,german,numeric
4,57.23404255319149,4,centeredkernel,german,numeric
5,60.638297872340424,5,centeredkernel,german,numeric
6,56.80851063829788,6,centeredkernel,german,numeric
7,54.04255319148936,7,centeredkernel,german,numeric
8,61.914893617021285,8,centeredkernel,german,numeric
9,60.0,9,centeredkernel,german,numeric
0,99.93815708101424,0,laplace,wine,numeric
1,99.81447124304268,1,laplace,wine,numeric
2,99.81447124304268,2,laplace,wine,numeric
3,99.75262832405691,3,laplace,wine,numeric
4,99.75262832405691,4,laplace,wine,numeric
5,99.87631416202845,5,laplace,wine,numeric
6,99.81447124304268,6,laplace,wine,numeric
7,99.81447124304268,7,laplace,wine,numeric
8,99.87631416202845,8,laplace,wine,numeric
9,99.81447124304268,9,laplace,wine,numeric
0,99.38157081014224,0,randomwalk,wine,numeric
1,99.75262832405691,1,randomwalk,wine,numeric
2,99.56709956709958,2,randomwalk,wine,numeric
3,99.5052566481138,3,randomwalk,wine,numeric
4,99.443413729128,4,randomwalk,wine,numeric
5,99.62894248608536,5,randomwalk,wine,numeric
6,99.5052566481138,6,randomwalk,wine,numeric
7,99.5052566481138,7,randomwalk,wine,numeric
8,99.5052566481138,8,randomwalk,wine,numeric
9,99.56709956709958,9,randomwalk,wine,numeric
0,99.87631416202845,0,wnll,wine,numeric
1,99.81447124304268,1,wnll,wine,numeric
2,99.62894248608536,2,wnll,wine,numeric
3,99.81447124304268,3,wnll,wine,numeric
4,99.87631416202845,4,wnll,wine,numeric
5,99.87631416202845,5,wnll,wine,numeric
6,99.87631416202845,6,wnll,wine,numeric
7,99.81447124304268,7,wnll,wine,numeric
8,99.87631416202845,8,wnll,wine,numeric
9,99.69078540507113,9,wnll,wine,numeric
0,99.87631416202845,0,mean_shifted_laplace,wine,numeric
1,99.87631416202845,1,mean_shifted_laplace,wine,numeric
2,99.69078540507113,2,mean_shifted_laplace,wine,numeric
3,99.75262832405691,3,mean_shifted_laplace,wine,numeric
4,99.93815708101424,4,mean_shifted_laplace,wine,numeric
5,99.75262832405691,5,mean_shifted_laplace,wine,numeric
6,99.87631416202845,6,mean_shifted_laplace,wine,numeric
7,99.75262832405691,7,mean_shifted_laplace,wine,numeric
8,100.0,8,mean_shifted_laplace,wine,numeric
9,99.69078540507113,9,mean_shifted_laplace,wine,numeric
0,99.87631416202845,0,poissonmbo_old,wine,numeric
1,99.69078540507113,1,poissonmbo_old,wine,numeric
2,99.69078540507113,2,poissonmbo_old,wine,numeric
3,99.62894248608536,3,poissonmbo_old,wine,numeric
4,99.87631416202845,4,poissonmbo_old,wine,numeric
5,99.69078540507113,5,poissonmbo_old,wine,numeric
6,99.75262832405691,6,poissonmbo_old,wine,numeric
7,99.75262832405691,7,poissonmbo_old,wine,numeric
8,99.56709956709958,8,poissonmbo_old,wine,numeric
9,99.56709956709958,9,poissonmbo_old,wine,numeric
0,99.69078540507113,0,poissonmbobalanced,wine,numeric
1,99.75262832405691,1,poissonmbobalanced,wine,numeric
2,99.69078540507113,2,poissonmbobalanced,wine,numeric
3,99.93815708101424,3,poissonmbobalanced,wine,numeric
4,99.75262832405691,4,poissonmbobalanced,wine,numeric
5,99.5052566481138,5,poissonmbobalanced,wine,numeric
6,99.69078540507113,6,poissonmbobalanced,wine,numeric
7,99.69078540507113,7,poissonmbobalanced,wine,numeric
8,99.93815708101424,8,poissonmbobalanced,wine,numeric
9,99.56709956709958,9,poissonmbobalanced,wine,numeric
0,99.443413729128,0,poisson2,wine,numeric
1,99.38157081014224,1,poisson2,wine,numeric
2,99.38157081014224,2,poisson2,wine,numeric
3,99.5052566481138,3,poisson2,wine,numeric
4,99.56709956709958,4,poisson2,wine,numeric
5,99.38157081014224,5,poisson2,wine,numeric
6,99.38157081014224,6,poisson2,wine,numeric
7,99.38157081014224,7,poisson2,wine,numeric
8,99.5052566481138,8,poisson2,wine,numeric
9,99.5052566481138,9,poisson2,wine,numeric
0,99.443413729128,0,poisson,wine,numeric
1,99.87631416202845,1,poisson,wine,numeric
2,99.69078540507113,2,poisson,wine,numeric
3,99.56709956709958,3,poisson,wine,numeric
4,99.81447124304268,4,poisson,wine,numeric
5,99.56709956709958,5,poisson,wine,numeric
6,99.62894248608536,6,poisson,wine,numeric
7,99.69078540507113,7,poisson,wine,numeric
8,99.62894248608536,8,poisson,wine,numeric
9,99.81447124304268,9,poisson,wine,numeric
0,99.56709956709958,0,poissonbalanced,wine,numeric
1,99.81447124304268,1,poissonbalanced,wine,numeric
2,99.443413729128,2,poissonbalanced,wine,numeric
3,99.69078540507113,3,poissonbalanced,wine,numeric
4,99.5052566481138,4,poissonbalanced,wine,numeric
5,99.69078540507113,5,poissonbalanced,wine,numeric
6,99.56709956709958,6,poissonbalanced,wine,numeric
7,99.69078540507113,7,poissonbalanced,wine,numeric
8,99.56709956709958,8,poissonbalanced,wine,numeric
9,99.69078540507113,9,poissonbalanced,wine,numeric
0,99.38157081014224,0,poissonvolume,wine,numeric
1,99.75262832405691,1,poissonvolume,wine,numeric
2,99.56709956709958,2,poissonvolume,wine,numeric
3,99.69078540507113,3,poissonvolume,wine,numeric
4,99.56709956709958,4,poissonvolume,wine,numeric
5,99.56709956709958,5,poissonvolume,wine,numeric
6,99.75262832405691,6,poissonvolume,wine,numeric
7,99.87631416202845,7,poissonvolume,wine,numeric
8,99.62894248608536,8,poissonvolume,wine,numeric
9,99.75262832405691,9,poissonvolume,wine,numeric
0,99.81447124304268,0,poissonmbo,wine,numeric
1,99.69078540507113,1,poissonmbo,wine,numeric
2,99.62894248608536,2,poissonmbo,wine,numeric
3,99.81447124304268,3,poissonmbo,wine,numeric
4,99.81447124304268,4,poissonmbo,wine,numeric
5,99.62894248608536,5,poissonmbo,wine,numeric
6,99.81447124304268,6,poissonmbo,wine,numeric
7,99.69078540507113,7,poissonmbo,wine,numeric
8,99.56709956709958,8,poissonmbo,wine,numeric
9,99.62894248608536,9,poissonmbo,wine,numeric
0,99.69078540507113,0,sparselabelpropagation,wine,numeric
1,99.69078540507113,1,sparselabelpropagation,wine,numeric
2,99.81447124304268,2,sparselabelpropagation,wine,numeric
3,99.87631416202845,3,sparselabelpropagation,wine,numeric
4,99.75262832405691,4,sparselabelpropagation,wine,numeric
5,99.75262832405691,5,sparselabelpropagation,wine,numeric
6,99.69078540507113,6,sparselabelpropagation,wine,numeric
7,99.69078540507113,7,sparselabelpropagation,wine,numeric
8,99.56709956709958,8,sparselabelpropagation,wine,numeric
9,99.69078540507113,9,sparselabelpropagation,wine,numeric
0,99.56709956709958,0,centeredkernel,wine,numeric
1,99.62894248608536,1,centeredkernel,wine,numeric
2,99.69078540507113,2,centeredkernel,wine,numeric
3,99.69078540507113,3,centeredkernel,wine,numeric
4,99.75262832405691,4,centeredkernel,wine,numeric
5,99.81447124304268,5,centeredkernel,wine,numeric
6,99.81447124304268,6,centeredkernel,wine,numeric
7,99.75262832405691,7,centeredkernel,wine,numeric
8,99.62894248608536,8,centeredkernel,wine,numeric
9,99.87631416202845,9,centeredkernel,wine,numeric
0,73.83177570093459,0,laplace,musk,image
1,82.00934579439253,1,laplace,musk,image
2,83.41121495327103,2,laplace,musk,image
3,76.16822429906541,3,laplace,musk,image
4,80.84112149532709,4,laplace,musk,image
5,79.2056074766355,5,laplace,musk,image
6,80.37383177570094,6,laplace,musk,image
7,80.37383177570094,7,laplace,musk,image
8,79.67289719626169,8,laplace,musk,image
9,84.11214953271029,9,laplace,musk,image
0,72.42990654205606,0,randomwalk,musk,image
1,76.86915887850469,1,randomwalk,musk,image
2,79.67289719626169,2,randomwalk,musk,image
3,73.3644859813084,3,randomwalk,musk,image
4,85.51401869158879,4,randomwalk,musk,image
5,69.62616822429906,5,randomwalk,musk,image
6,73.13084112149531,6,randomwalk,musk,image
7,79.43925233644859,7,randomwalk,musk,image
8,74.06542056074767,8,randomwalk,musk,image
9,80.84112149532709,9,randomwalk,musk,image
0,78.73831775700934,0,wnll,musk,image
1,80.84112149532709,1,wnll,musk,image
2,81.54205607476634,2,wnll,musk,image
3,82.00934579439253,3,wnll,musk,image
4,80.37383177570094,4,wnll,musk,image
5,85.98130841121497,5,wnll,musk,image
6,83.17757009345793,6,wnll,musk,image
7,78.27102803738319,7,wnll,musk,image
8,81.77570093457943,8,wnll,musk,image
9,82.00934579439253,9,wnll,musk,image
0,78.50467289719626,0,mean_shifted_laplace,musk,image
1,82.47663551401871,1,mean_shifted_laplace,musk,image
2,82.24299065420561,2,mean_shifted_laplace,musk,image
3,81.77570093457943,3,mean_shifted_laplace,musk,image
4,78.97196261682242,4,mean_shifted_laplace,musk,image
5,82.24299065420561,5,mean_shifted_laplace,musk,image
6,84.57943925233644,6,mean_shifted_laplace,musk,image
7,80.37383177570094,7,mean_shifted_laplace,musk,image
8,80.84112149532709,8,mean_shifted_laplace,musk,image
9,82.24299065420561,9,mean_shifted_laplace,musk,image
0,75.46728971962617,0,poissonmbo_old,musk,image
1,80.60747663551402,1,poissonmbo_old,musk,image
2,79.67289719626169,2,poissonmbo_old,musk,image
3,84.34579439252336,3,poissonmbo_old,musk,image
4,79.90654205607476,4,poissonmbo_old,musk,image
5,76.86915887850469,5,poissonmbo_old,musk,image
6,79.43925233644859,6,poissonmbo_old,musk,image
7,82.71028037383178,7,poissonmbo_old,musk,image
8,81.07476635514018,8,poissonmbo_old,musk,image
9,76.86915887850469,9,poissonmbo_old,musk,image
0,78.73831775700934,0,poissonmbobalanced,musk,image
1,78.03738317757009,1,poissonmbobalanced,musk,image
2,81.30841121495327,2,poissonmbobalanced,musk,image
3,80.37383177570094,3,poissonmbobalanced,musk,image
4,83.64485981308411,4,poissonmbobalanced,musk,image
5,82.94392523364486,5,poissonmbobalanced,musk,image
6,78.97196261682242,6,poissonmbobalanced,musk,image
7,79.43925233644859,7,poissonmbobalanced,musk,image
8,79.2056074766355,8,poissonmbobalanced,musk,image
9,80.14018691588784,9,poissonmbobalanced,musk,image
0,54.439252336448604,0,poisson2,musk,image
1,55.8411214953271,1,poisson2,musk,image
2,56.30841121495328,2,poisson2,musk,image
3,61.214953271028044,3,poisson2,musk,image
4,52.80373831775701,4,poisson2,musk,image
5,55.14018691588785,5,poisson2,musk,image
6,64.95327102803739,6,poisson2,musk,image
7,61.91588785046729,7,poisson2,musk,image
8,64.01869158878505,8,poisson2,musk,image
9,63.55140186915888,9,poisson2,musk,image
0,74.76635514018692,0,poisson,musk,image
1,73.59813084112149,1,poisson,musk,image
2,77.10280373831776,2,poisson,musk,image
3,70.7943925233645,3,poisson,musk,image
4,68.69158878504673,4,poisson,musk,image
5,74.29906542056075,5,poisson,musk,image
6,80.84112149532709,6,poisson,musk,image
7,72.42990654205606,7,poisson,musk,image
8,76.6355140186916,8,poisson,musk,image
9,69.62616822429906,9,poisson,musk,image
0,75.70093457943925,0,poissonbalanced,musk,image
1,69.62616822429906,1,poissonbalanced,musk,image
2,73.59813084112149,2,poissonbalanced,musk,image
3,77.33644859813084,3,poissonbalanced,musk,image
4,73.3644859813084,4,poissonbalanced,musk,image
5,73.3644859813084,5,poissonbalanced,musk,image
6,76.16822429906541,6,poissonbalanced,musk,image
7,68.22429906542057,7,poissonbalanced,musk,image
8,74.06542056074767,8,poissonbalanced,musk,image
9,74.76635514018692,9,poissonbalanced,musk,image
0,68.45794392523365,0,poissonvolume,musk,image
1,71.96261682242991,1,poissonvolume,musk,image
2,64.01869158878505,2,poissonvolume,musk,image
3,68.92523364485982,3,poissonvolume,musk,image
4,73.3644859813084,4,poissonvolume,musk,image
5,71.72897196261681,5,poissonvolume,musk,image
6,77.80373831775701,6,poissonvolume,musk,image
7,75.46728971962617,7,poissonvolume,musk,image
8,72.19626168224299,8,poissonvolume,musk,image
9,69.85981308411215,9,poissonvolume,musk,image
0,79.43925233644859,0,poissonmbo,musk,image
1,79.2056074766355,1,poissonmbo,musk,image
2,76.40186915887851,2,poissonmbo,musk,image
3,78.97196261682242,3,poissonmbo,musk,image
4,80.84112149532709,4,poissonmbo,musk,image
5,76.6355140186916,5,poissonmbo,musk,image
6,79.2056074766355,6,poissonmbo,musk,image
7,78.27102803738319,7,poissonmbo,musk,image
8,78.97196261682242,8,poissonmbo,musk,image
9,79.43925233644859,9,poissonmbo,musk,image
0,69.85981308411215,0,sparselabelpropagation,musk,image
1,77.33644859813084,1,sparselabelpropagation,musk,image
2,75.23364485981308,2,sparselabelpropagation,musk,image
3,75.23364485981308,3,sparselabelpropagation,musk,image
4,76.16822429906541,4,sparselabelpropagation,musk,image
